date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:33:38	144281/144281	---M--	200	added ('OK')	image/jpeg	etag:%221573816042%22	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/banner2.jpg	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/banner2.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/css/style.css)
10:33:42	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Nov%202020%2005:33:42%20GMT	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/banner5.jpg	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/banner5.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/css/style.css)
10:33:44	165960/165960	---M--	200	added ('OK')	image/jpeg	etag:%221573816042%22	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/banner3.jpg	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/banner3.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/css/style.css)
10:33:45	201447/201447	---M--	200	added ('OK')	image/jpeg	etag:%221573816042%22	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/banner4.jpg	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/banner4.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/css/style.css)
10:33:46	130492/130492	---M--	200	added ('OK')	image/jpeg	etag:%221573816042%22	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/mid.jpg	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/mid.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/css/style.css)
10:33:48	65417/65417	---M--	200	added ('OK')	image/jpeg	etag:%221573816042%22	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/candidate.jpg	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/candidate.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/css/style.css)
10:33:48	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Nov%202020%2005:33:48%20GMT	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/img-sprite.png	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/img-sprite.png	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/css/style.css)
10:33:52	146738/146738	---M--	200	added ('OK')	image/jpeg	etag:%221573816042%22	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/contact.jpg	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/contact.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/css/style.css)
10:33:55	76518/76518	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%221510638458%22	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/fontawesome-webfont3e6e.eot	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/css/font-awesome.css)
10:33:58	71896/71896	---M--	200	added ('OK')	font/woff2	etag:%221510638458%22	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/fontawesome-webfont3e6e.woff2	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/css/font-awesome.css)
